City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sao Filipe,CV,73.22,clear sky,14.8961,-24.4956,Hotel Xaguate
2,Mataura,NZ,62.44,overcast clouds,-46.1927,168.8643,Ellie's Villa
6,Meadow Lake,US,72.37,clear sky,34.8014,-106.5436,TumbleWeed RV Park
7,Westport,US,52.09,clear sky,41.1415,-73.3579,The Inn at Longshore
8,Ushuaia,AR,53.26,scattered clouds,-54.8,-68.3,Albatross Hotel
9,Ilam,NP,53.74,clear sky,26.9167,87.9167,चियाबारी कटेज
10,Punta Arenas,CL,50.11,light rain,-53.15,-70.9167,Hotel Hain
11,Cape Town,ZA,69.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
20,East London,ZA,72.64,overcast clouds,-33.0153,27.9116,Tu Casa
22,Castro,BR,66.96,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
26,Mweka,CD,67.68,overcast clouds,-4.85,21.5667,Guest House Boshab
35,Flinders,AU,71.2,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
40,Bredasdorp,ZA,69.12,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
41,Saint-Philippe,RE,74.79,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
42,Port Alfred,ZA,67.71,clear sky,-33.5906,26.891,The Halyards Hotel
46,Hermanus,ZA,68.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
58,Ponta Do Sol,PT,65.07,few clouds,32.6667,-17.1,Hotel do Campo
59,Along,IN,53.28,clear sky,28.1667,94.7667,Hotel West
60,Mar Del Plata,AR,64.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
63,Dubai,AE,71.22,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
68,Hobart,AU,68.05,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
70,Broken Hill,AU,73.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
72,Constitucion,CL,67.69,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
73,North Bend,US,52.92,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
78,Jinka,ET,73.09,overcast clouds,5.65,36.65,
81,Kalabo,ZM,68.83,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
87,Bluff,NZ,55.26,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
93,Waipawa,NZ,62.46,few clouds,-41.4122,175.5153,Tora Coastal Walk
97,Jibuti,DJ,72.82,clear sky,11.5,42.5,Orchid Main Camp Goubet
105,Kaeo,NZ,71.33,overcast clouds,-35.1,173.7833,Bushido Lodge
106,Najran,SA,65.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
107,Saint-Joseph,RE,73.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
112,Mangrol,IN,72.73,clear sky,21.1167,70.1167,Hotel The Royal Honours
115,Quesnel,CA,50.5,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
126,Hampton,US,60.85,few clouds,37.0299,-76.3452,Embassy Suites by Hilton Hampton Convention Center
131,Vavuniya,LK,74.53,overcast clouds,8.7514,80.4971,Thampa Hotel
132,Jabinyanah,TN,53.4,few clouds,35.035,10.9081,maison belmabrouk
134,Nelson Bay,AU,71.96,moderate rain,-32.7167,152.15,Mantra Nelson Bay
136,Sabzevar,IR,53.65,broken clouds,36.2126,57.6819,پزشکی قانونی سبزوار
137,New Norfolk,AU,67.71,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
138,Esperance,AU,60.64,light rain,-33.8667,121.9,Hospitality Esperance
139,Necochea,AR,64.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
142,Tuatapere,NZ,66.67,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
143,Cam Ranh,VN,73.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
148,Kaitangata,NZ,60.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
152,Lengshuijiang,CN,55.92,broken clouds,27.6881,111.4294,Sheraton
158,Victoria,HK,66.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
163,Shushtar,IR,65.19,overcast clouds,32.0455,48.8567,چاپ یاس کبود
166,Eureka,US,61.2,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
171,Twin Falls,US,57.54,clear sky,42.3505,-114.6445,
172,Gelemso,ET,61.92,clear sky,8.8167,40.5167,Colele kebeber
173,Gat,IL,63.81,overcast clouds,31.61,34.7642,OlusHome
174,Llata,PE,54.57,overcast clouds,-9.4167,-76.7833,Hospedaje Familia Collazos Espinoza
176,Kruisfontein,ZA,62.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
184,Lubango,AO,60.75,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
186,Lashio,MM,51.01,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
187,Burnie,AU,69.93,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
196,Kutum,SD,73.63,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
202,Ngunguru,NZ,71.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
209,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
210,Esna,EG,71.91,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
211,Fortuna,US,65.19,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
213,Sabratah,LY,51.48,clear sky,32.7933,12.4885,شقق مفروش شمس الاصيل
217,Airai,TL,65.26,few clouds,-8.9266,125.4092,
219,Bengkulu,ID,74.98,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
222,Ribeira Grande,PT,58.48,broken clouds,38.5167,-28.7,Quinta da Meia Eira
225,Hamilton,US,67.05,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
228,Toro,CO,74.08,overcast clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
230,Sawtell,AU,73.42,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
232,Pokhara,NP,55.27,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
239,Rawson,AR,72.77,clear sky,-43.3002,-65.1023,Hosteria Sampedro
249,Ambilobe,MG,74.26,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
250,Gualeguay,AR,74.25,clear sky,-33.1416,-59.3097,Faro del Lago
257,Codrington,AU,74.97,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
259,Kasongo-Lunda,CD,71.56,light rain,-6.4667,16.8167,
261,Aripuana,BR,74.53,overcast clouds,-9.1667,-60.6333,
264,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
265,Radford,US,69.08,clear sky,37.1318,-80.5764,La Quinta Inn by Wyndham Radford
267,Puerto Del Rosario,ES,64.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
268,Camacha,PT,61.56,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
269,Lichinga,MZ,60.35,overcast clouds,-13.3128,35.2406,Residencial Bendiak
276,Lebu,CL,61.39,few clouds,-37.6167,-73.65,Hostal Las Lilas
277,Brigantine,US,55.67,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
279,Amapa,BR,73.33,scattered clouds,1.0,-52.0,
289,Fianarantsoa,MG,63.68,overcast clouds,-21.4333,47.0833,Soratel
291,Bathurst,AU,70.72,overcast clouds,-33.4166,149.5806,Bathurst Motor Inn
303,Ancud,CL,67.53,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
304,Benghazi,LY,55.09,clear sky,32.1167,20.0667,Tibesti Hotel
305,Portland,US,55.45,light rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
309,Knysna,ZA,64.78,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
312,Tall Kayf,TR,50.58,overcast clouds,37.0833,41.0667,
315,Marsh Harbour,BS,73.44,clear sky,26.5412,-77.0636,Abaco Beach Resort
320,Sungaipenuh,ID,63.34,light rain,-2.0833,101.3833,penginapan citra alam
322,Taitung,TW,66.47,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
335,Colorado,BR,71.6,overcast clouds,-22.8375,-51.9731,Hotel Bandeirantes
338,Manono,CD,67.19,overcast clouds,-7.3,27.4167,Hotel hewa bora
339,Sur,OM,73.33,clear sky,22.5667,59.5289,Sur Plaza Hotel
342,Suclayin,PH,74.12,overcast clouds,15.7568,121.5503,Costa Pacifica
346,Rocha,UY,68.67,clear sky,-34.4833,-54.3333,Hotel Arrarte
347,Pozo Colorado,PY,73.38,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
349,Coquimbo,CL,65.93,clear sky,-29.9533,-71.3436,Hotel San Juan
351,Bud,US,67.42,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
354,Christchurch,NZ,67.6,scattered clouds,-43.5333,172.6333,The George
361,Plouzane,FR,50.18,light rain,48.3833,-4.6167,Lymina
366,Atar,MR,73.81,clear sky,20.5169,-13.0499,Oumou Elghoura
372,Vila Franca Do Campo,PT,58.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
377,Hualmay,PE,72.73,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
379,Itoman,JP,60.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
380,Richards Bay,ZA,73.04,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
382,Kharsawan,IN,67.44,clear sky,22.8,85.8333,Maharaj Hotel
383,Talcahuano,CL,69.48,clear sky,-36.7167,-73.1167,departamento comodo
388,Payo,ID,70.11,overcast clouds,-3.7508,103.6372,Mess keban agung
390,Havelock,US,69.78,clear sky,34.8791,-76.9013,Sherwood Motel
395,Olavarria,AR,67.15,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
396,Ahipara,NZ,72.55,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
402,Chicama,PE,68.54,broken clouds,-7.8447,-79.1469,Balihai Bungalows
405,San Roque,ES,59.83,scattered clouds,36.2107,-5.3842,Hotel Guadacorte Park
407,Bahia Blanca,AR,70.07,scattered clouds,-38.7196,-62.2724,Hotel Argos
409,Taltal,CL,66.97,few clouds,-25.4,-70.4833,Residencial Karime
410,Port Victoria,KE,72.54,overcast clouds,0.0939,33.9756,Homepark motel
412,Tezu,IN,60.8,clear sky,27.9167,96.1667,Circuit House
416,Forestville,US,62.24,scattered clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
418,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
419,Linhai,CN,51.93,overcast clouds,28.85,121.1167,Linhai S&N International Hotel
421,Eyl,SO,72.95,clear sky,7.9803,49.8164,Amiin Hotel
422,Montijo,PT,57.58,clear sky,38.7067,-8.9739,TRYP Montijo Parque Hotel
424,Boende,CD,70.83,light rain,-0.2167,20.8667,
428,Callaguip,PH,73.42,scattered clouds,18.0714,120.4867,Pangil Beach Resort
434,Batemans Bay,AU,72.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
438,Farmington,US,67.39,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
