City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Filipe,CV,14.8961,-24.4956,73.22,69,0,12.24,clear sky
1,Balezino,RU,57.9796,53.0106,18.07,100,85,5.3,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,62.44,50,89,1.48,overcast clouds
3,Whitehorse,CA,60.7161,-135.0538,31.1,65,75,11.5,shower rain
4,Albany,US,42.6001,-73.9662,37.81,61,96,6.06,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,79.5,70,22,18.81,light rain
6,Meadow Lake,US,34.8014,-106.5436,72.37,7,0,5.55,clear sky
7,Westport,US,41.1415,-73.3579,52.09,44,0,10.36,clear sky
8,Ushuaia,AR,-54.8,-68.3,53.26,50,40,12.66,scattered clouds
9,Ilam,NP,26.9167,87.9167,53.74,71,2,5.5,clear sky
10,Punta Arenas,CL,-53.15,-70.9167,50.11,87,100,5.75,light rain
11,Cape Town,ZA,-33.9258,18.4232,69.12,83,20,4.61,few clouds
12,Ilulissat,GL,69.2167,-51.1,33.82,34,100,25.32,overcast clouds
13,Sambava,MG,-14.2667,50.1667,76.64,89,100,3.27,light rain
14,Atuona,PF,-9.8,-139.0333,78.15,79,23,18.59,light rain
15,Chokurdakh,RU,70.6333,147.9167,-28.26,100,62,1.32,broken clouds
16,Maumere,ID,-8.6199,122.2111,79.68,84,72,8.99,broken clouds
17,Jiayuguan,CN,39.8167,98.3,32.0,31,100,6.38,overcast clouds
18,Sokoni,TZ,-6.4333,39.55,81.43,71,60,12.17,broken clouds
19,Butaritari,KI,3.0707,172.7902,80.74,83,100,13.53,moderate rain
20,East London,ZA,-33.0153,27.9116,72.64,77,97,11.27,overcast clouds
21,Nanortalik,GL,60.1432,-45.2371,21.58,92,100,24.49,snow
22,Castro,BR,-24.7911,-50.0119,66.96,92,99,4.09,overcast clouds
23,Torbay,CA,47.6666,-52.7314,30.58,83,75,16.11,broken clouds
24,Axim,GH,4.8699,-2.2405,78.85,83,48,7.83,moderate rain
25,Touros,BR,-5.1989,-35.4608,81.5,75,76,9.55,broken clouds
26,Mweka,CD,-4.85,21.5667,67.68,93,97,1.39,overcast clouds
27,Busselton,AU,-33.65,115.3333,49.05,67,42,5.44,scattered clouds
28,Hithadhoo,MV,-0.6,73.0833,83.59,71,50,10.18,scattered clouds
29,Palauig,PH,15.435,119.9045,77.34,72,77,3.02,broken clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,87.76,86,88,8.01,overcast clouds
31,Samarai,PG,-10.6167,150.6667,81.12,82,95,6.85,overcast clouds
32,Qaanaaq,GL,77.484,-69.3632,5.85,52,8,8.08,clear sky
33,Sola,VU,-13.8833,167.55,81.27,89,75,0.0,broken clouds
34,Jamestown,US,42.097,-79.2353,45.72,40,75,8.05,broken clouds
35,Flinders,AU,-34.5833,150.8552,71.2,94,98,5.99,light rain
36,Hilo,US,19.7297,-155.09,80.33,77,75,11.5,broken clouds
37,Chuy,UY,-33.6971,-53.4616,75.27,52,1,5.41,clear sky
38,Moose Factory,CA,51.2585,-80.6094,-2.2,50,0,8.05,clear sky
39,Chapais,CA,49.7834,-74.8492,6.58,84,100,5.97,overcast clouds
40,Bredasdorp,ZA,-34.5322,20.0403,69.12,68,26,3.44,scattered clouds
41,Saint-Philippe,RE,-21.3585,55.7679,74.79,88,23,8.93,few clouds
42,Port Alfred,ZA,-33.5906,26.891,67.71,85,5,7.81,clear sky
43,Nadym,RU,65.5333,72.5167,10.62,96,100,7.31,light snow
44,Nikolskoye,RU,59.7035,30.7861,33.87,88,100,4.29,overcast clouds
45,Bontang,ID,0.1333,117.5,76.78,88,100,4.92,overcast clouds
46,Hermanus,ZA,-34.4187,19.2345,68.9,85,1,13.15,clear sky
47,Puerto Escondido,MX,15.85,-97.0667,85.03,70,0,5.75,clear sky
48,Kaduy,RU,59.2,37.15,16.07,99,97,2.19,overcast clouds
49,Vao,NC,-22.6667,167.4833,79.32,79,58,18.28,broken clouds
50,Vanimo,PG,-2.6741,141.3028,78.08,86,93,2.48,overcast clouds
51,Manokwari,ID,-0.8667,134.0833,77.88,81,100,1.92,overcast clouds
52,Leningradskiy,RU,69.3833,178.4167,0.97,96,99,5.82,overcast clouds
53,Faanui,PF,-16.4833,-151.75,82.08,70,17,17.2,few clouds
54,Cayenne,GF,4.9333,-52.3333,79.09,88,75,9.22,broken clouds
55,Hare Bay,CA,48.8499,-54.0148,27.75,73,98,12.21,overcast clouds
56,Menomonie,US,44.8755,-91.9193,32.77,55,100,12.66,overcast clouds
57,Yellowknife,CA,62.456,-114.3525,2.41,58,0,2.3,clear sky
58,Ponta Do Sol,PT,32.6667,-17.1,65.07,80,20,2.04,few clouds
59,Along,IN,28.1667,94.7667,53.28,78,7,2.08,clear sky
60,Mar Del Plata,AR,-38.0023,-57.5575,64.42,65,0,8.99,clear sky
61,Jamame,SO,0.0722,42.7506,77.02,86,37,11.5,scattered clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,78,0,12.66,clear sky
63,Dubai,AE,25.2582,55.3047,71.22,77,0,3.44,clear sky
64,Lorengau,PG,-2.0226,147.2712,81.19,76,100,1.7,overcast clouds
65,Turka,UA,49.1541,23.0297,29.26,98,97,3.13,light snow
66,Barentu,ER,15.1139,37.5928,78.75,43,39,3.78,scattered clouds
67,Aklavik,CA,68.2191,-135.0107,5.83,60,0,12.66,clear sky
68,Hobart,AU,-42.8794,147.3294,68.05,76,40,6.91,scattered clouds
69,Medea,DZ,36.2642,2.7539,36.05,44,7,4.54,clear sky
70,Broken Hill,AU,-31.95,141.4333,73.11,68,0,10.36,clear sky
71,Kaspiyskiy,RU,45.3929,47.3707,39.25,88,74,15.95,broken clouds
72,Constitucion,CL,-35.3333,-72.4167,67.69,74,23,13.8,few clouds
73,North Bend,US,43.4065,-124.2243,52.92,96,100,11.5,mist
74,Qaqortoq,GL,60.7167,-46.0333,23.5,91,100,24.36,snow
75,Altenburg,DE,50.9833,12.45,32.63,80,26,1.81,scattered clouds
76,Teahupoo,PF,-17.8333,-149.2667,78.76,73,33,17.11,scattered clouds
77,Kholodnyy,RU,62.7167,147.95,-2.47,94,100,4.76,overcast clouds
78,Jinka,ET,5.65,36.65,73.09,44,91,1.28,overcast clouds
79,San Ramon,US,37.7799,-121.978,75.2,40,0,8.05,clear sky
80,Georgetown,MY,5.4112,100.3354,76.95,99,40,1.14,scattered clouds
81,Kalabo,ZM,-14.97,22.6814,68.83,87,84,4.92,broken clouds
82,Avarua,CK,-21.2078,-159.775,86.05,74,20,10.36,few clouds
83,Clyde River,CA,70.4692,-68.5914,1.63,85,100,29.93,heavy snow
84,Sangar,RU,63.9242,127.4739,-23.26,99,82,2.75,broken clouds
85,Dikson,RU,73.5069,80.5464,-24.0,98,100,8.14,overcast clouds
86,Khatanga,RU,71.9667,102.5,-2.33,88,100,7.85,overcast clouds
87,Bluff,NZ,-46.6,168.3333,55.26,66,97,4.21,overcast clouds
88,Hervey Bay,AU,-25.2986,152.8535,86.04,88,41,12.8,scattered clouds
89,Longyearbyen,SJ,78.2186,15.6401,13.84,85,75,12.66,light snow
90,Yarmouth,US,41.7057,-70.2286,43.27,68,0,6.91,clear sky
91,Svetlogorsk,BY,52.6333,29.7333,32.09,95,100,4.74,overcast clouds
92,Barrow,US,71.2906,-156.7887,3.22,85,40,13.8,haze
93,Waipawa,NZ,-41.4122,175.5153,62.46,59,17,4.92,few clouds
94,Apricena,IT,41.7839,15.4437,40.87,79,8,2.42,clear sky
95,Kailua,US,21.4022,-157.7394,82.38,70,0,1.99,clear sky
96,Mahebourg,MU,-20.4081,57.7,79.09,94,75,11.5,broken clouds
97,Jibuti,DJ,11.5,42.5,72.82,74,6,11.14,clear sky
98,Ahuimanu,US,21.4447,-157.8378,82.11,67,40,10.36,scattered clouds
99,Wencheng,CN,33.0559,113.7978,47.03,62,2,4.14,clear sky
100,College,US,64.8569,-147.8028,27.21,85,40,3.44,scattered clouds
101,Kapaa,US,22.0752,-159.319,78.78,75,0,9.22,moderate rain
102,Saint-Augustin,CA,51.226,-58.6502,17.94,95,100,16.51,snow
103,Turukhansk,RU,65.8167,87.9833,-11.16,99,100,5.03,overcast clouds
104,San Cristobal,VE,7.7669,-72.225,77.18,58,78,2.37,broken clouds
105,Kaeo,NZ,-35.1,173.7833,71.33,71,99,18.19,overcast clouds
106,Najran,SA,17.4924,44.1277,65.05,37,0,2.73,clear sky
107,Saint-Joseph,RE,-21.3667,55.6167,73.78,85,19,8.25,few clouds
108,Pangnirtung,CA,66.1451,-65.7125,-9.4,77,100,5.75,overcast clouds
109,Ust-Nera,RU,64.5667,143.2,-9.02,98,100,3.74,overcast clouds
110,San Jose,US,37.3394,-121.895,78.57,40,75,10.36,broken clouds
111,Tateyama,JP,34.9833,139.8667,48.09,83,87,7.4,overcast clouds
112,Mangrol,IN,21.1167,70.1167,72.73,51,0,11.79,clear sky
113,Bristol,US,41.8334,-71.1662,42.71,47,0,10.36,clear sky
114,Okhotsk,RU,59.3833,143.3,4.37,72,100,15.03,overcast clouds
115,Quesnel,CA,52.9999,-122.5029,50.5,43,0,4.61,clear sky
116,Pacific Grove,US,36.6177,-121.9166,80.58,60,0,11.5,clear sky
117,Cairns,AU,-16.9167,145.7667,85.1,80,25,3.44,scattered clouds
118,Kodiak,US,57.79,-152.4072,35.11,93,100,24.16,moderate rain
119,Vaini,TO,-21.2,-175.2,77.16,94,75,0.0,broken clouds
120,Sitka,US,57.0531,-135.33,42.69,75,100,13.8,overcast clouds
121,Brae,GB,60.3964,-1.353,42.71,77,13,23.0,few clouds
122,Dingle,PH,10.9995,122.6711,77.29,89,69,8.23,broken clouds
123,Katsuura,JP,35.1333,140.3,48.18,80,95,8.61,overcast clouds
124,Bida,NG,9.0833,6.0167,87.33,20,60,3.38,broken clouds
125,Orocue,CO,4.7912,-71.3354,82.35,61,98,5.86,overcast clouds
126,Hampton,US,37.0299,-76.3452,60.85,60,20,10.36,few clouds
127,Buin,CL,-33.7333,-70.75,89.92,38,0,7.25,clear sky
128,Laguna,US,38.421,-121.4238,76.64,39,0,8.05,clear sky
129,Salalah,OM,17.0151,54.0924,75.29,64,0,3.44,clear sky
130,Tomatlan,MX,19.9333,-105.25,85.46,42,0,9.42,clear sky
131,Vavuniya,LK,8.7514,80.4971,74.53,76,99,4.94,overcast clouds
132,Jabinyanah,TN,35.035,10.9081,53.4,70,19,11.41,few clouds
