City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,48.09,67,42,5.44,scattered clouds
1,Sao Filipe,CV,14.8961,-24.4956,73.22,69,0,12.24,clear sky
2,Dombarovskiy,RU,50.7587,59.5386,9.41,99,91,5.48,overcast clouds
3,Jamestown,US,42.097,-79.2353,45.72,35,75,9.22,broken clouds
4,Zambezi,ZM,-13.5432,23.1047,65.1,97,100,3.91,light rain
5,Hokitika,NZ,-42.7167,170.9667,64.44,55,88,2.93,overcast clouds
6,Shimoda,JP,34.6667,138.95,45.1,72,40,2.73,scattered clouds
7,Kapaa,US,22.0752,-159.319,81.12,72,0,6.91,clear sky
8,Sur,OM,22.5667,59.5289,73.47,65,0,5.97,clear sky
9,Necochea,AR,-38.5473,-58.7368,68.04,55,1,10.07,clear sky
10,Norilsk,RU,69.3535,88.2027,-13.94,98,100,2.86,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,53.26,54,75,14.97,broken clouds
12,Coari,BR,-4.085,-63.1414,78.26,92,99,1.3,light rain
13,Bubaque,GW,11.2833,-15.8333,76.51,74,97,21.94,overcast clouds
14,Neyshabur,IR,36.2133,58.7958,53.44,42,96,4.76,overcast clouds
15,Margate,GB,51.3813,1.3862,46.31,80,100,3.0,overcast clouds
16,Kumeny,RU,58.1089,49.9161,22.93,99,81,7.05,broken clouds
17,Hilo,US,19.7297,-155.09,82.13,68,75,11.5,broken clouds
18,Butaritari,KI,3.0707,172.7902,80.74,83,100,13.53,moderate rain
19,Bredasdorp,ZA,-34.5322,20.0403,69.12,73,26,9.22,scattered clouds
20,Umkomaas,ZA,-30.2067,30.7978,74.68,91,28,13.35,scattered clouds
21,Vestmannaeyjar,IS,63.4427,-20.2734,42.17,62,100,19.95,overcast clouds
22,Cancun,MX,21.1743,-86.8466,78.73,53,75,9.22,broken clouds
23,Muromtsevo,RU,56.3724,75.2418,14.02,90,53,12.66,broken clouds
24,Hermanus,ZA,-34.4187,19.2345,68.9,85,1,13.15,clear sky
25,Awjilah,LY,29.1081,21.2869,53.78,53,40,12.8,scattered clouds
26,Punta Arenas,CL,-53.15,-70.9167,51.91,82,100,4.61,overcast clouds
27,Cukai,MY,4.25,103.4167,75.34,93,63,6.93,broken clouds
28,Saint-Philippe,RE,-21.3585,55.7679,74.79,88,23,8.93,few clouds
29,New Norfolk,AU,-42.7826,147.0587,67.91,74,35,1.01,scattered clouds
30,Denpasar,ID,-8.65,115.2167,78.46,94,20,2.3,few clouds
31,Avarua,CK,-21.2078,-159.775,84.25,79,75,10.36,broken clouds
32,Hobart,AU,-42.8794,147.3294,68.25,80,40,5.75,scattered clouds
